Model,Accuracy,Precision,Recall,F1,AUC-ROC
Logistic Regression,0.7602739726027398,0.17437722419928825,0.7903225806451613,0.2857142857142857,0.8586525537634409
Decision Tree,0.9246575342465754,0.3076923076923077,0.1935483870967742,0.2376237623762376,0.5827116935483871
Random Forest,0.9412915851272016,1.0,0.03225806451612903,0.0625,0.8268985215053763
SVM (RBF),0.7906066536203522,0.16956521739130434,0.6290322580645161,0.2671232876712329,0.7962029569892473
Gradient Boosting,0.9295499021526419,0.2222222222222222,0.06451612903225806,0.1,0.7872983870967742
