Model,Accuracy,Precision,Recall,F1,AUC-ROC
Logistic Regression,0.7495107632093934,0.13986013986013987,0.8,0.23809523809523808,0.8412551440329218
Decision Tree,0.9354207436399217,0.21428571428571427,0.12,0.15384615384615385,0.5486831275720165
Random Forest,0.9500978473581213,0.0,0.0,0.0,0.7894855967078189
SVM (RBF),0.7729941291585127,0.12704918032786885,0.62,0.2108843537414966,0.7803086419753086
XGBoost,0.9500978473581213,0.42857142857142855,0.06,0.10526315789473684,0.7984979423868314
